"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","createdMsia"
"@KhadAmizan hotlink data data plan lagi murah than maxis so tukar balik to hotlink <ed><U+00A0><U+00BD><ed><U+00B8><U+00AA>",FALSE,0,"KhadAmizan","2016-06-02 16:10:36",FALSE,738400613965254656,738402444950929408,202570423,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","iAdamAzman",0,FALSE,FALSE,NA,NA,"2016-06-03 00:10:36"
"@MaxisListens 1<U+00B0>30'20.5""N 103<U+00B0>45'55.5""E. Once u've upgraded maxis one data plan. Maxis at my area has been unstable since then.",FALSE,0,"MaxisListens","2016-06-02 15:08:40",FALSE,738384189687402496,738386860934733824,141114041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hudanadirah",0,FALSE,FALSE,NA,NA,"2016-06-02 23:08:40"
"@Nams____ maybe plan tertentu je kot boleh. maxis ke?",FALSE,0,"Nams____","2016-06-02 12:24:32",FALSE,728606580594200576,738345552664924160,1410047773,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NisaZndn",0,FALSE,FALSE,NA,NA,"2016-06-02 20:24:32"
"@TheSmithPlays richthofen has a grand plan for maxis, assuming that maxis wanted richthofen to protect sam? We might have to fight him....",FALSE,0,"TheSmithPlays","2016-06-02 10:51:03",FALSE,NA,738322028038496256,236086837,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BountyUnta",0,FALSE,FALSE,NA,NA,"2016-06-02 18:51:03"
"@SyahzKMustaza alaaaaaaa..... yeke??? Baru nak plan tukar ke digi... <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> maxis dah, celcom dah... ape je yg tggal...",FALSE,0,"SyahzKMustaza","2016-06-02 10:45:09",FALSE,738320181865259008,738320543334563840,300104972,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khairul_afzan",0,FALSE,FALSE,NA,NA,"2016-06-02 18:45:09"
"RT @YXNYSFF_: Raya is around da corner, phone baru? Plan unlimited call? Contact abg senior Maxis skrg, service tiptop laga pipi<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://<U+0085>",FALSE,0,NA,"2016-06-02 00:18:02",FALSE,NA,738162725067464704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awsomelo",3,TRUE,FALSE,NA,NA,"2016-06-02 08:18:02"
"Richtofen said, ""The blood will protect me."" He doesn't trust Maxis and he has a Plan B. Sound familiar?",FALSE,0,NA,"2016-06-01 20:40:21",FALSE,NA,738107940410789888,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoginRice",0,FALSE,FALSE,NA,NA,"2016-06-02 04:40:21"
"RT @twt_kucingmanja: Banyak dah kaum maxis kena tindas macam ni, moh lew ramai ramai tukar plan ke umobile, digi atau celcom. https://t.co/<U+0085>",FALSE,0,NA,"2016-06-01 17:26:58",FALSE,NA,738059274035683328,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nadiakewchik4",1499,TRUE,FALSE,NA,NA,"2016-06-02 01:26:58"
"@HotlinkRED hi, i baru lepas tukar plan i ke maxis. Tapi kenapa i tak dapat guna nombor i tu untuk facetime&amp;imesej ya? Thanks.",FALSE,0,"HotlinkRED","2016-06-01 16:34:41",FALSE,NA,738046119872077824,46583836,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NrDyanaa",0,FALSE,FALSE,NA,NA,"2016-06-02 00:34:41"
"Rasa macam nak tukar number whatsapp ke maxis balik &amp; sepatutnya plan haritu mmg nak tukar pun. Tapi leceh dah nak tukar balik <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>",FALSE,0,NA,"2016-06-01 16:08:22",FALSE,NA,738039494343942144,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nzulaiqhamazlan",0,FALSE,FALSE,NA,NA,"2016-06-02 00:08:22"
"RT @YXNYSFF_: Raya is around da corner, phone baru? Plan unlimited call? Contact abg senior Maxis skrg, service tiptop laga pipi<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://<U+0085>",FALSE,0,NA,"2016-06-01 14:11:39",FALSE,NA,738010122119569408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ayumastika",3,TRUE,FALSE,NA,NA,"2016-06-01 22:11:39"
"RT @YXNYSFF_: Raya is around da corner, phone baru? Plan unlimited call? Contact abg senior Maxis skrg, service tiptop laga pipi<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://<U+0085>",FALSE,0,NA,"2016-06-01 13:41:39",FALSE,NA,738002573039308800,NA,"<a href=""http://gplus.to/carbonandroid"" rel=""nofollow"">Carbon v2</a>","TBMH_",3,TRUE,FALSE,NA,NA,"2016-06-01 21:41:39"
"Raya is around da corner, phone baru? Plan unlimited call? Contact abg senior Maxis skrg, service tiptop laga pipi<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/L6CFpNU2Bn",FALSE,2,NA,"2016-06-01 13:35:54",FALSE,NA,738001125241028608,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YXNYSFF_",3,FALSE,FALSE,NA,NA,"2016-06-01 21:35:54"
"@hueiswen @jellyengg @jellyengggg maxis data plan",FALSE,3,"hueiswen","2016-06-01 13:00:54",FALSE,737992205088890880,737992316233736192,105100352,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nigelnathaneal",0,FALSE,FALSE,NA,NA,"2016-06-01 21:00:54"
"Setianya aku pada maxis,dari umur 14 tahun smpi skrg. Xtukar nombor mahupun plan prabayar. X cukup setia ke tu?",FALSE,0,NA,"2016-06-01 12:49:18",FALSE,NA,737989399716077568,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shimasyisyi",0,FALSE,FALSE,NA,NA,"2016-06-01 20:49:18"
"Nak tukar plan. Nak pakai maxis pulak. Haha",FALSE,0,NA,"2016-06-01 11:58:51",FALSE,NA,737976704056991744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amrhahmd",0,FALSE,FALSE,NA,NA,"2016-06-01 19:58:51"
"So tukaq plan p umobile kaa hahaha. Ke setio dengan maxis? Hm",FALSE,0,NA,"2016-06-01 10:31:39",FALSE,NA,737954756128186368,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adilahzainal",0,FALSE,FALSE,NA,NA,"2016-06-01 18:31:39"
"Hello @MaxisListens ! Saya nak tukar plan dari Maxis ke Celcom tapi rejected. Kenapa ya?",FALSE,0,NA,"2016-06-01 08:15:39",FALSE,NA,737920532365053952,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ummusharik",0,FALSE,FALSE,NA,NA,"2016-06-01 16:15:39"
"@nelnzry Hi, The price of Chromecast is RM170 per unit for non Maxis customer and RM150 per unit for Maxis One Plan customer. TQ-Derrick",FALSE,0,"nelnzry","2016-06-01 07:27:55",FALSE,737905378021806080,737908518473334784,218769441,"<a href=""http://www.maxislistens.com"" rel=""nofollow"">MaxisListens_app</a>","MaxisListens",0,FALSE,FALSE,NA,NA,"2016-06-01 15:27:55"
"Being a loyal maxis customer for a long time alrdy but now i need to change for a better plan. Sorry @MaxisListens <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> https://t.co/y8TYJQVWWt",FALSE,3,NA,"2016-06-01 03:39:02",FALSE,NA,737850918327226368,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itspypajoe",0,FALSE,FALSE,NA,NA,"2016-06-01 11:39:02"
"@Maxis May I know more about the Maxis plan? The MaxisONE share is so confusing.",FALSE,0,"Maxis","2016-06-01 02:59:47",FALSE,NA,737841041013760000,58476851,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","teapeng",0,FALSE,FALSE,NA,NA,"2016-06-01 10:59:47"
"Kepala bana maxis.. Coverage E.. Pleasela someone offer aku plan internet lain yg hebat2 siket.. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,1,NA,"2016-06-01 02:38:09",FALSE,NA,737835598837338112,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlIkram1",0,FALSE,FALSE,NA,NA,"2016-06-01 10:38:09"
"Serabut nya maxis nak tukar plan pun susah. baki tertunggak dia aku bukan nya pakai postpaid dah <ed><U+00A0><U+00BD><ed><U+00B8><U+0091>",FALSE,0,NA,"2016-05-31 16:52:55",FALSE,NA,737688320969302016,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ummusharik",0,FALSE,FALSE,NA,NA,"2016-06-01 00:52:55"
"Aku punya sakit hati, lps dpt msg dr maxis yg mengatakan aku dah guna 80% data, terus pegi blue cube reg tuka plan. Padan muka maxis!",FALSE,0,NA,"2016-05-31 16:08:51",FALSE,NA,737677227970560000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ecah_F",0,FALSE,FALSE,NA,NA,"2016-06-01 00:08:51"
"guna maxis one plan leh aa tukar tiap tahun hm",FALSE,0,NA,"2016-05-31 13:38:59",FALSE,NA,737639512717680640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nhidayuu_",0,FALSE,FALSE,NA,NA,"2016-05-31 21:38:59"
"tengah tunggu maxis punya plan kalau ada. kalau ada laaa.",FALSE,0,NA,"2016-05-31 13:17:32",FALSE,NA,737634115294371840,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xpikmanx",0,FALSE,FALSE,NA,NA,"2016-05-31 21:17:32"
"@blackspacecatx qi please la tukar plan. maxis memang celaka <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"blackspacecatx","2016-05-31 13:10:16",FALSE,737629373080047616,737632288821764096,2194013815,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zmzlhlmyrf_",0,FALSE,FALSE,NA,NA,"2016-05-31 21:10:16"
"Dah plan hotlink/maxis tak berbaloi, nak tegakkan apa lagi ? Cibet",FALSE,0,NA,"2016-05-31 11:10:46",FALSE,NA,737602212914831360,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohdAminy",0,FALSE,FALSE,NA,NA,"2016-05-31 19:10:46"
"@esKahn yup per year. no reloads needed. only subscribe to the 365 plan and maxis will auto deduct rm33 from balance",FALSE,0,"esKahn","2016-05-31 07:03:42",FALSE,737535940000808960,737540039568023552,740570022,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cheechoong",0,FALSE,FALSE,NA,NA,"2016-05-31 15:03:42"
"@MaxisListens Dear maxis 
2 days ago I requested to change my plan from WM to 3.0 until now nothing, I just received the request reference.",FALSE,0,"MaxisListens","2016-05-31 05:52:14",FALSE,NA,737522050936406016,141114041,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ERQEEB",0,FALSE,FALSE,NA,NA,"2016-05-31 13:52:14"
"Tukar plan ke maxis dah settle",FALSE,0,NA,"2016-05-31 03:56:22",FALSE,NA,737492895192600576,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katonjunior",0,FALSE,FALSE,NA,NA,"2016-05-31 11:56:22"
"baru mau plan download gomgshim trus maxis msg internet anda telah tamat, the real pain was there oh em gee my gongshim",FALSE,0,NA,"2016-06-07 03:15:46",FALSE,NA,740019390121312256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lova9876543xx",0,FALSE,FALSE,NA,NA,"2016-06-07 11:15:46"
"@rambleandwander guna plan data ape? Maxis ke?",FALSE,0,"rambleandwander","2016-06-07 02:02:20",FALSE,740000723488755712,740000910210826240,549497095,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syrarahmat",0,FALSE,FALSE,NA,NA,"2016-06-07 10:02:20"
"Plan maxis apa recommended utk internet sebulan or seminggu",FALSE,0,NA,"2016-06-07 01:40:59",FALSE,NA,739995539874283520,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DearSyazwan",0,FALSE,FALSE,NA,NA,"2016-06-07 09:40:59"
"RT @amanz: Maxis Menawarkan Telefon Pintar 4G Percuma Untuk Pelanggan MaxisONE Plan<U+00A0>baru https://t.co/DHi7lmRNXo https://t.co/zaI5n9pXFW",FALSE,0,NA,"2016-06-07 00:28:06",FALSE,NA,739977197960630272,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","angahfizi",12,TRUE,FALSE,NA,NA,"2016-06-07 08:28:06"
